"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/10/2023";"0000";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0100";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0200";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0300";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0400";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0500";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0600";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0700";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0800";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0900";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"1000";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"1100";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"1200";"";"";"";"";"";"";"";"";"";"0,2"
"01/10/2023";"1300";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"1400";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"1500";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"1600";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"1700";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"1800";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"1900";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"2000";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"2100";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"2200";"";"";"";"";"";"";"";"";"";"0,0"
"01/10/2023";"2300";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0000";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0100";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0200";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0300";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0400";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0500";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0600";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0700";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0800";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"0900";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1000";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1100";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1200";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1300";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1400";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1500";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1600";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1700";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1800";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"1900";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"2000";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"2100";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"2200";"";"";"";"";"";"";"";"";"";"0,0"
"02/10/2023";"2300";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"0000";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"0100";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"0200";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"0300";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0400";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0500";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0600";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0700";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0800";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0900";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"1000";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"1100";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"1200";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"1300";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"1400";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"1500";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"1600";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"1700";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"1800";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"1900";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"2000";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"2100";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"2200";"";"";"";"";"";"";"";"";"";"0,0"
"03/10/2023";"2300";"";"";"";"";"";"";"";"";"";"0,0"
"04/10/2023";"0000";"";"";"";"";"";"";"";"";"";"0,0"
"04/10/2023";"0100";"";"";"";"";"";"";"";"";"";"0,0"
"04/10/2023";"0200";"";"";"";"";"";"";"";"";"";"0,0"
"04/10/2023";"0300";"";"";"";"";"";"";"";"";"";"0,0"
"04/10/2023";"0400";"";"";"";"";"";"";"";"";"";"0,0"
"04/10/2023";"0500";"";"";"";"";"";"";"";"";"";"1,8"
"04/10/2023";"0600";"";"";"";"";"";"";"";"";"";"1,4"
"04/10/2023";"0700";"";"";"";"";"";"";"";"";"";"5,2"
"04/10/2023";"0800";"";"";"";"";"";"";"";"";"";"4,2"
"04/10/2023";"0900";"";"";"";"";"";"";"";"";"";""
"04/10/2023";"1000";"";"";"";"";"";"";"";"";"";""
"04/10/2023";"1100";"";"";"";"";"";"";"";"";"";""
"04/10/2023";"1200";"";"";"";"";"";"";"";"";"";"4,6"
"04/10/2023";"1300";"";"";"";"";"";"";"";"";"";"4,4"
"04/10/2023";"1400";"";"";"";"";"";"";"";"";"";""
"04/10/2023";"1500";"";"";"";"";"";"";"";"";"";""
"04/10/2023";"1600";"";"";"";"";"";"";"";"";"";"7,8"
"04/10/2023";"1700";"";"";"";"";"";"";"";"";"";"0,2"
"04/10/2023";"1800";"";"";"";"";"";"";"";"";"";"0,0"
"04/10/2023";"1900";"";"";"";"";"";"";"";"";"";"0,0"
"04/10/2023";"2000";"";"";"";"";"";"";"";"";"";""
"04/10/2023";"2100";"";"";"";"";"";"";"";"";"";""
"04/10/2023";"2200";"";"";"";"";"";"";"";"";"";""
"04/10/2023";"2300";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0000";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0100";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0200";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0300";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0400";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0500";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0600";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0700";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0800";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"0900";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"1000";"";"";"";"";"";"";"";"";"";"0,0"
"05/10/2023";"1100";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"1200";"";"";"";"";"";"";"";"";"";"0,2"
"05/10/2023";"1300";"";"";"";"";"";"";"";"";"";"0,0"
"05/10/2023";"1400";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"1500";"";"";"";"";"";"";"";"";"";"0,4"
"05/10/2023";"1600";"";"";"";"";"";"";"";"";"";"0,0"
"05/10/2023";"1700";"";"";"";"";"";"";"";"";"";"0,4"
"05/10/2023";"1800";"";"";"";"";"";"";"";"";"";"0,0"
"05/10/2023";"1900";"";"";"";"";"";"";"";"";"";"0,0"
"05/10/2023";"2000";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"2100";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"2200";"";"";"";"";"";"";"";"";"";""
"05/10/2023";"2300";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0000";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0100";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0200";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0300";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0400";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0500";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0600";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0700";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0800";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"0900";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"1000";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"1100";"";"";"";"";"";"";"";"";"";""
"06/10/2023";"1200";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"1300";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"1400";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"1500";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"1600";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"1700";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"1800";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"1900";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"2000";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"2100";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"2200";"";"";"";"";"";"";"";"";"";"0,0"
"06/10/2023";"2300";"";"";"";"";"";"";"";"";"";"0,0"
"07/10/2023";"0000";"";"";"";"";"";"";"";"";"";"0,0"
"07/10/2023";"0100";"";"";"";"";"";"";"";"";"";"0,2"
"07/10/2023";"0200";"";"";"";"";"";"";"";"";"";"1,0"
"07/10/2023";"0300";"";"";"";"";"";"";"";"";"";"0,0"
"07/10/2023";"0400";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"0500";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"0600";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"0700";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"0800";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"0900";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"1000";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"1100";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"1200";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"1300";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"1400";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"1500";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"1600";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"1700";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"1800";"";"";"";"";"";"";"";"";"";"0,6"
"07/10/2023";"1900";"";"";"";"";"";"";"";"";"";"0,0"
"07/10/2023";"2000";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"2100";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"2200";"";"";"";"";"";"";"";"";"";""
"07/10/2023";"2300";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0000";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0100";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0200";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0300";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0400";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0500";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0600";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0700";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0800";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"0900";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"1000";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"1100";"";"";"";"";"";"";"";"";"";"0,0"
"08/10/2023";"1200";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"1300";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"1400";"";"";"";"";"";"";"";"";"";"7,0"
"08/10/2023";"1500";"";"";"";"";"";"";"";"";"";"3,0"
"08/10/2023";"1600";"";"";"";"";"";"";"";"";"";"2,2"
"08/10/2023";"1700";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"1800";"";"";"";"";"";"";"";"";"";""
"08/10/2023";"1900";"";"";"";"";"";"";"";"";"";""
